Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,Field14
1/15/2016,2016,Jan,36.921417,-75.667414,"Whale, humpback",Male,Moderate Decomposition,No,USA,VA,EEZ,VAQS20161004,
1/27/2016,2016,Jan,33.99518,-77.90637,"Whale, humpback",Male,Fresh Dead,Yes,USA,NC,New Hanover,WAM709,
2/17/2016,2016,Feb,33.21143,-79.18188,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,SC,Georgetown,SC1602,
2/19/2016,2016,Feb,35.29202,-75.51358,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,Dare,CAHA341,
3/16/2016,2016,Mar,41.20787,-71.55622,"Whale, humpback",Male,Moderate Decomposition,No,USA,RI,Washington,SYMn1610,
3/24/2016,2016,Mar,39.720539,-74.121103,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,Ocean,MMSC-16-030,
4/23/2016,2016,Apr,41.465721,-71.302361,"Whale, humpback",Male,Fresh Dead,No,USA,RI,Newport,SYMn1623,
4/25/2016,2016,Apr,42.049393,-70.642831,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,Plymouth,NEAQ-16-023-Mn,
4/26/2016,2016,Apr,40.9953,-72.0922,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5460-2016,
6/4/2016,2016,Jun,40.7997,-72.7265,"Whale, humpback",Unk,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5481-2016,
6/17/2016,2016,Jun,38.56705,-75.05687,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,DE,Sussex,MERRST1511Mn,
6/24/2016,2016,Jun,40.8133,-72.5751,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5488-2016,
6/27/2016,2016,Jun,43.002,-70.7437,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NH,Rockingham,SSC-16-022 Mn,
7/5/2016,2016,Jul,38.822233,-75.036667,"Whale, humpback",Male,Fresh Dead,No,USA,DE,EEZ,MERRST1519Mn,
7/12/2016,2016,Jul,38.2531043,-75.1281681,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MD,Worcester,16-MNO-21,
8/25/2016,2016,Aug,44.55568,-67.50043,"Whale, humpback",Male,Advanced Decomposition,No,USA,ME,Washington,COA160825Mn,
9/12/2016,2016,Sep,41.350507,-70.574146,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,MA,Dukes,IFAW16-172Mn,
9/16/2016,2016,Sep,39.169567,-74.678493,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NJ,Cape May,MMSC-16-083,
10/6/2016,2016,Oct,43.782591,-69.65629,"Whale, humpback",Male,Advanced Decomposition,No,USA,ME,Lincoln,MME-16-260Mn,
10/27/2016,2016,Oct,33.84367,-77.96867,"Whale, humpback",Female,Fresh Dead,Yes,USA,NC,Brunswick,WAM714,
10/28/2016,2016,Oct,39.717316,-75.518067,"Whale, humpback",Female,Moderate Decomposition,No,USA,DE,New Castle,MERRCA1538Mn,
11/18/2016,2016,Nov,40.398667,-73.834333,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,EEZ,NMFSGAR111816Mn,
11/23/2016,2016,Nov,40.7901,-72.7397,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Suffolk,NY5541-2016,
12/8/2016,2016,Dec,42.07341667,-70.12316667,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,Barnstable,IFAW16-227Mn,
12/11/2016,2016,Dec,37.643056,-76.123056,"Whale, humpback",Unk,Fresh Dead,No,USA,VA,EEZ,VAQS20161078,
12/19/2016,2016,Dec,36.53208,-75.864238,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NC,Currituck,KLC266,
1/12/2017,2017,Jan,39.469517,-74.300101,"Whale, humpback",Male,Fresh Dead,Yes,USA,NJ,Atlantic,MMSC-17-002,
1/16/2017,2017,Jan,36.1187582,-75.7204116,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NC,Dare,KLC268,
1/24/2017,2017,Jan,37.29159,-76.01563,"Whale, humpback",Male,Advanced Decomposition,No,USA,VA,Northampton,VAQS20171004,
1/26/2017,2017,Jan,34.71946,-76.44694,"Whale, humpback",Female,Fresh Dead,Yes,USA,NC,Carteret,CALO17-02,
2/2/2017,2017,Feb,36.9991,-76.318,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,Hampton,VAQS20171005,
2/5/2017,2017,Feb,37.112983,-76.07425,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,EEZ,VAQS20171006,
2/11/2017,2017,Feb,39.358997,-75.356589,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,Cumberland,MMSC-17-008,
2/11/2017,2017,Feb,36.949316,-76.030037,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,Virginia Beach,VAQS20171007,
2/17/2017,2017,Feb,35.983444,-75.166861,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NC,EEZ,NCUR20170217,
2/20/2017,2017,Feb,38.0706,-74.9735,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MD,EEZ,17-MNO-02,
2/25/2017,2017,Feb,37.857323,-75.371567,"Whale, humpback",Unk,Advanced Decomposition,No,USA,VA,Accomack,VAQS20171008,
3/17/2017,2017,Mar,35.30663,-75.51,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,Dare,CAHA391,
3/24/2017,2017,Mar,35.62302,-75.46765,"Whale, humpback",Unk,Advanced Decomposition,No,USA,NC,Dare,CAHA392,
4/1/2017,2017,Apr,35.48011,-75.47974,"Whale, humpback",Male,Moderate Decomposition,No,USA,NC,Dare,CAHA393,
4/3/2017,2017,Apr,40.576225,-73.8362,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Queens,AMCS20Mn2017,
4/23/2017,2017,Apr,39.181077,-75.403408,"Whale, humpback",Unk,Advanced Decomposition,No,USA,DE,New Castle,MERRST1547Mn,
5/4/2017,2017,May,38.734638,-75.07848,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,DE,Sussex,MERR-ST1580Mn,
5/17/2017,2017,May,36.8724,-75.4349,"Whale, humpback",Unk,Moderate Decomposition,No,USA,Va,EEZ,VAQS20171049,
6/3/2017,2017,Jun,39.6293,-73.9746,"Whale, humpback",Unk,Fresh Dead,No,USA,NJ,EEZ,MMSC-17-092,
6/15/2017,2017,Jun,41.4545,-71.40061,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,RI,Newport,SxMn1746,
6/18/2017,2017,Jun,41.59985,-69.9836,"Whale, humpback",Male,Fresh Dead,Yes,USA,MA,Barnstable,IFAW17-270Mn,
6/21/2017,2017,Jun,41.624086,-69.965721,"Whale, humpback",Male,Fresh Dead,Yes,USA,MA,Barnstable,IFAW17-274Mn,
7/6/2017,2017,Jul,41.12505,-70.561933,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,EEZ,NMFSGAR070617Mn,
7/27/2017,2017,Jul,41.765317,-69.85965,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,EEZ,IFAW17-317Mn,
8/8/2017,2017,Aug,41.244043,-70.060549,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,Nantucket,NMFSGAR080817Mn,
8/17/2017,2017,Aug,41.6055556,-67.61055556,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA ,EEZ,NMFSGAR081717Mn3,
9/5/2017,2017,Sep,41.1519889,-71.5522528,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,RI,Washington,SYMn1755,
10/1/2017,2017,Oct,41.1728,-71.5543,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,RI,Washington,SXMn1758,
10/19/2017,2017,Oct,41.1895,-72.1666,"Whale, humpback",Female,Advanced Decomposition,No,USA,NY,Suffolk,AMCS117Mn2017,
10/20/2017,2017,Oct,40.64,-72.47,"Whale, humpback",Unk,Fresh Dead,No,USA,NY,EEZ,NMFSGAR102017Mn,
10/31/2017,2017,Oct,41.1895,-72.1666,"Whale, humpback",Unk,Mummified/Skeletal Remains,No,USA,NY,Suffolk,AMCS121Mn2017,
11/26/2017,2017,Nov,36.91309,-76.080326,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Virginia Beach,VAQS20171090,
12/19/2017,2017,Dec,40.67533,-69.939167,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR121917Mn,
12/26/2017,2017,Dec,40.583436,-73.702792,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS154Mn2017,
1/7/2018,2018,Jan,37.124171,-75.096376,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,EEZ,VAQS20181002,
1/22/2018,2018,Jan,36.696667,-75,"Whale, humpback",Unk,Moderate Decomposition,No,USA,VA,EEZ,VAQS20181006,
1/28/2018,2018,Jan,30.5997,-81.4422,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,FL,Nassau,MnNEFL1802,
2/5/2018,2018,Feb,34.60827,-76.52822,"Whale, humpback",Male,Advanced Decomposition,No,USA,NC,Carteret,CALO18-05,
2/11/2018,2018,Feb,37.853154,-75.393012,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Accomack,VAQS20181007,
2/12/2018,2018,Feb,40.54302,-73.93919,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Queens,AMCS06Mn2018,
2/14/2018,2018,Feb,29.479739,-81.12652,"Whale, humpback",Unk,Mummified/Skeletal Remains,Yes,USA,FL,Flager,GACFS-18-05-Mn,
2/24/2018,2018,Feb,30.87763,-80.89457,"Whale, humpback",Unk,Fresh Dead,No,USA,GA,EEZ,GA2018008,
2/28/2018,2018,Feb,36.308458,-75.431021,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,EEZ,NCRU20180228Mn,
2/28/2018,2018,Feb,39.391354,-72.9566171,"Whale, humpback",Unk,Unknown,No,USA,NY,EEZ,NMFSGAR022818Mn,
3/1/2018,2018,Mar,42.1158333,-67.43361111,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR030118Mn,
4/17/2018,2018,Apr,44.77374,-67.024449,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,ME,Washington,COA180417Mn ,
5/5/2018,2018,May,40.4674,-74.0104,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NJ,Monmouth,MMSC-18-104_AMCS53Mn2018,
5/18/2018,2018,May,40.583583,-73.67485,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS69Mn2018,
5/22/2018,2018,May,40.316861,-73.816917,"Whale, humpback",Male,Moderate Decomposition,No,USA,NJ,EEZ,MMSC-18-130,
5/22/2018,2018,May,41.01247,-70.42068,"Whale, humpback",Unk,Unknown,No,USA,MA,EEZ,NMFSGARFO052218Mn,
5/27/2018,2018,May,40.6484,-73.134,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS73Mn2018,
5/31/2018,2018,May,37.73515147,-75.56317,"Whale, humpback",Unk,Mummified/Skeletal Remains,Yes,USA,VA,Accomack,VAQS20181049,
6/1/2018,2018,Jun,40.556721,-73.902662,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NY,Queens,AMCS76Mn2018,
6/14/2018,2018,Jun,40.59333,-73.736,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS83Mn2018,
7/26/2018,2018,Jul,40.9972,-72.0386,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS123Mn2018,
8/28/2018,2018,Aug,40.637101,-73.185207,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS139Mn2018,
9/7/2018,2018,Sep,42.25906,-70.80637,"Whale, humpback",Male,Moderate Decomposition,No,USA,MA,Norfolk,SSC-18-173Mn,
9/17/2018,2018,Sep,42.5605556,-70.92666667,"Whale, humpback",Female,Moderate Decomposition,No,USA,MA,Essex,NEAQ-18-109Mn_NMFSGARFO091718Mn             ,
9/29/2018,2018,Sep,44.121,-68.3681,"Whale, humpback",Unk,Advanced Decomposition,No,USA,ME,Hancock,COA180929Mn,
12/16/2018,2018,Dec,38.8051042,-75.094573,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,DE,Sussex,MERR-ST1730Mn,
2/3/2019,2019,Feb,35.791975,-74.599389,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NC,EEZ,NCUR20190203,
2/12/2019,2019,Feb,35.8025,-75.5433,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NC,Dare,CAHA451,
2/17/2019,2019,Feb,36.2817651,-75.7934379,"Whale, humpback",Male,Fresh Dead,Yes,USA,NC,Currituck,KLC310,
2/17/2019,2019,Feb,36.6583,-75.9041,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Virginia Beach,VAQS20191003,
3/13/2019,2019,Mar,36.61778,-75.805,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,EEZ,VAQS20191009,
3/15/2019,2019,Mar,37.4859,-75.67815,"Whale, humpback",Female,Moderate Decomposition,No,USA,VA,Accomack,VAQS20191011,
3/17/2019,2019,Mar,36.333674,-75.811672,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NC,Currituck,KLC319,
3/24/2019,2019,Mar,31.90402,-80.2366,"Whale, humpback",Unk,Moderate Decomposition,No,USA,GA,EEZ,GA2019012,
4/14/2019,2019,Apr,37.20105,-75.828477,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,Northampton,VAQS20191024,
5/2/2019,2019,May,36.85667,-74.541667,"Whale, humpback",Unk,Advanced Decomposition,No,USA,VA,EEZ,VAQS20191045,
5/4/2019,2019,May,42.29306,-70.45861,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,EEZ,IFAW19-287Mn,
5/5/2019,2019,May,40.7676,-72.741,"Whale, humpback",Female,Fresh Dead,Yes,USA,NY,Suffolk,AMCS110Mn2019,
5/29/2019,2019,May,42.503689,-70.065064,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR05292019Mn,
6/6/2019,2019,Jun,39.196448,-74.650725,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,DE,Cape May,MMSC-19-115,
6/16/2019,2019,Jun,41.76666667,-66.81666667,"Whale, humpback",Unk,Unknown,No,USA,MA,EEZ,GARFO061619Mn,
7/25/2019,2019,Jul,40.995,-71.759,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,EEZ,AMCS165Mn2019,
8/9/2019,2019,Aug,40.6545,-72.7029,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NY,EEZ,AMCS171Mn2019,
8/10/2019,2019,Aug,40.33875,-73.92265,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NJ,Monmouth,MMSC-19-147,
8/26/2019,2019,Aug,42.2313889,-70.61916667,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,EEZ,IFAW19-412Mn,
