	OBJECTID	NatlDBNum	ConfCode	SpeciesID	ComName	Genus	Species	County	State	WaterBody	LatAcc	LongAcc	ObsDay	ObsStatus	SpeciesCategory	x	y	spatialReference	Date	lat	lon
233	25342	NE-2000-1037117	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Essex	MA	Atlantic Ocean			1	Advanced Decomposition	Humpback Whale	-7861697.844673823	5262961.706855196	102100	2000-NOV-01	42.67716667000008	-70.62283332999995
234	3385	NE-2018-1206807	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Rockingham	NH		actual	actual	29	Alive	Humpback Whale	-7879071.106908026	5295790.679213519	102100	2018-AUG-29	42.89360000000004	-70.77889999999995
235	6229	NE-2016-1189874	Confirmed - High	7	Whale, humpback	Megaptera	novaeangliae	Rockingham	NH	Gulf of Maine	actual	actual	27	Moderate Decomposition	Humpback Whale	-7875152.660832101	5312276.272293667	102100	2016-JUN-27	43.00200000000006	-70.74369999999993
236	10878	NE-2012-1145515	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	20	Moderate Decomposition	Humpback Whale	-7550723.1368641835	5313492.550448727	102100	2012-MAY-20	43.00999000000007	-67.82929999999993
237	22995	NE-2002-1036131	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Cumberland	ME	Atlantic Ocean			7	Moderate Decomposition	Humpback Whale	-7818936.317981498	5394471.036314	102100	2002-JUN-07	43.539616670000036	-70.23869999999994
238	5815	NE-2016-1192637	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Lincoln	ME	Atlantic Ocean	estimate	estimate	6	Advanced Decomposition	Humpback Whale	-7754102.733348588	5431859.051323161	102100	2016-OCT-06	43.782591000000025	-69.65628999999996
239	22483	NE-2003-1034440	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Lincoln	ME	Muscongus Bay			30	Moderate Decomposition	Humpback Whale	-7733365.025408711	5436857.499067632	102100	2003-SEP-30	43.81500000000005	-69.46999999999997
240	10839	NE-2012-1146055	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Knox	ME	Atlantic Ocean	estimate	estimate	1	Mummified/Skeletal	Humpback Whale	-7694073.030021369	5464124.252544436	102100	2012-AUG-01	43.99148300000008	-69.11703399999993
241	21963	NE-2003-1052539	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			16	Moderate Decomposition	Humpback Whale	-7701824.540123778	5366163.519200145	102100	2003-JUN-16	43.355000000000075	-69.18666699999994
242	14351	NE-2009-1100693	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Eez	ME	Atlantic Ocean	estimate		20	Advanced Decomposition	Humpback Whale	-7681968.816509456	5436317.562622411	102100	2009-JUL-20	43.81150000000007	-69.00829999999996
243	19475	NE-2005-1046899	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	21	Moderate Decomposition	Humpback Whale	-7653214.992037552	5401186.79983114	102100	2005-JUL-21	43.58333300000004	-68.74999999999994
244	10878	NE-2012-1145515	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	20	Moderate Decomposition	Humpback Whale	-7550723.1368641835	5313492.550448727	102100	2012-MAY-20	43.00999000000007	-67.82929999999993
245	21966	NE-2003-1052531	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			24	Mummified/Skeletal	Humpback Whale	-7321668.479064753	5293724.423322171	102100	2003-AUG-24	42.88000000000005	-65.77166699999998
246	21974	NE-2003-1049859	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	31	Condition Unknown	Humpback Whale	-7342355.313997339	5318773.042696003	102100	2003-JUL-31	43.044666670000026	-65.95749999999998
247	21975	NE-2003-1049853	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	30	Condition Unknown	Humpback Whale	-7293281.972177033	5334831.317576804	102100	2003-JUL-30	43.15000000000004	-65.51666666999995
248	3520	NE-2018-1206103	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Atlantic Ocean	actual	actual	29	Advanced Decomposition	Humpback Whale	-7610952.54735789	5482497.801094344	102100	2018-SEP-29	44.11011000000008	-68.37034999999999
249	24477	NE-2002-1035833	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			16	Advanced Decomposition	Humpback Whale	-7530763.552164954	5426835.265468536	102100	2002-MAY-16	43.75000000000005	-67.64999999999996
250	15239	NE-2008-1083061	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Atlantic Ocean	actual	actual	13	Moderate Decomposition	Humpback Whale	-7534470.49120837	5457707.825688527	102100	2008-JUN-13	43.95000000000004	-67.68329999999997
251	10886	NE-2012-1145367	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Atlantic Ocean	estimate	estimate	29	Fresh Dead	Humpback Whale	-7595916.401097455	5501617.164992306	102100	2012-JUN-29	44.23330000000004	-68.23527799999994
252	7707	NE-2014-1170403	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Atlantic Ocean	actual	actual	25	Fresh Dead	Humpback Whale	-7593374.531844683	5505075.611498967	102100	2014-DEC-25	44.25555600000007	-68.21244399999993
253	10895	NE-2012-1145289	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Atlantic Ocean	actual	actual	24	Advanced Decomposition	Humpback Whale	-7579218.477478467	5492823.102133738	102100	2012-AUG-24	44.17667000000005	-68.08527799999996
254	17669	NE-2006-1060547	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Gulf of Maine	estimate	estimate	20	Advanced Decomposition	Humpback Whale	-7553238.957356113	5490236.030035788	102100	2006-JUL-20	44.160000000000025	-67.85189999999994
255	22506	NE-2003-1034411	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME				15	Moderate Decomposition	Humpback Whale	-7552062.681032333	5496315.594086723	102100	2003-AUG-15	44.19916667000006	-67.84133332999994
256	7147	NE-2015-1175157	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Atlantic Ocean	actual	actual	11	Moderate Decomposition	Humpback Whale	-7589192.926492528	5517611.948717447	102100	2015-JUN-11	44.33616000000006	-68.17487999999997
257	87	NE-2020-1227903	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Hancock	ME	Atlantic Ocean	actual	actual	9	Advanced Decomposition	Humpback Whale	-7580849.308018591	5524207.72882196	102100	2020-JUL-09	44.37852400000002	-68.09992799999998
258	16376	NE-2007-1070249	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME	Gulf of Maine	actual	actual	25	Moderate Decomposition	Humpback Whale	-7541895.501244279	5518728.399645787	102100	2007-JUL-25	44.34333300000003	-67.74999999999994
259	19025	NE-2005-1049529	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME	Pleasant Bay	estimate	estimate	3	Advanced Decomposition	Humpback Whale	-7540147.785238826	5538310.211041551	102100	2005-SEP-03	44.46900000000005	-67.73429999999995
260	15210	NE-2008-1083301	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME	Atlantic Ocean	estimate	estimate	8	Moderate Decomposition	Humpback Whale	-7532667.115457516	5541290.118761113	102100	2008-SEP-08	44.48810000000004	-67.66709999999995
261	22491	NE-2003-1034431	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME				9	Advanced Decomposition	Humpback Whale	-7522043.52575721	5538076.228178562	102100	2003-AUG-09	44.46750000000003	-67.57166666999996
262	22491	NE-2003-1034431	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME				9	Advanced Decomposition	Humpback Whale	-7522043.52575721	5538076.228178562	102100	2003-AUG-09	44.46750000000003	-67.57166666999996
263	6152	NE-2016-1190833	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME	Atlantic Ocean	actual	actual	25	Advanced Decomposition	Humpback Whale	-7514113.495927	5551841.529596557	102100	2016-AUG-25	44.555680000000045	-67.50042999999994
264	15227	NE-2008-1083183	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME	Atlantic Ocean	actual	actual	15	Advanced Decomposition	Humpback Whale	-7504781.583013802	5558767.9609988965	102100	2008-JUL-14	44.60000000000007	-67.41659999999995
265	3948	NE-2018-1202902	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Washington	ME	Atlantic Ocean	actual	actual	17	Moderate Decomposition	Humpback Whale	-7461127.533379728	5585971.534556655	102100	2018-APR-17	44.77374000000003	-67.02444899999993
266	11370	NE-2011-1143177	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae		MA	Atlantic Ocean	actual	actual	10	Moderate Decomposition	Humpback Whale	-7768820.283226366	5084188.992979918	102100	2011-JUL-10	41.48530000000005	-69.78849999999994
267	12965	NE-2010-1129060	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	26	Moderate Decomposition	Humpback Whale	-7754471.200863114	5106683.476348624	102100	2010-AUG-26	41.63650000000007	-69.65959999999994
268	13936	NE-2009-1118643	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	estimate	estimate	17	Moderate Decomposition	Humpback Whale	-7731283.350930874	5117383.857047384	102100	2009-AUG-17	41.70830000000006	-69.45129999999995
269	15001	NE-2008-1091495	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	24	Moderate Decomposition	Humpback Whale	-7728466.96781381	5132560.719438202	102100	2008-OCT-24	41.810000000000045	-69.42599999999999
270	20575	NE-2004-1042315	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Barnstable	MA	Atlantic Ocean			11	Moderate Decomposition	Humpback Whale	-7717427.784605741	5155014.470703278	102100	2004-DEC-11	41.960166670000035	-69.32683332999994
271	16105	NE-2007-1073355	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	29	Advanced Decomposition	Humpback Whale	-7694032.509726721	5193491.01878158	102100	2007-AUG-29	42.21667000000007	-69.11666999999994
272	17201	NE-2006-1063093	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	estimate	estimate	26	Moderate Decomposition	Humpback Whale	-7699598.038988424	5061633.230110547	102100	2006-NOV-26	41.33333300000004	-69.16666599999996
273	13925	NE-2009-1119563	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	27	Moderate Decomposition	Humpback Whale	-7683827.852005706	5085779.135886455	102100	2009-AUG-27	41.496000000000045	-69.02499999999998
274	16550	NE-2007-1067933	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	30	Moderate Decomposition	Humpback Whale	-7683271.254551739	5095047.316933986	102100	2007-MAY-30	41.558330000000076	-69.01999999999997
275	20294	NE-2004-1043495	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	15	Fresh Dead	Humpback Whale	-7664179.9618806895	5135747.383742487	102100	2004-DEC-15	41.83133333000006	-68.84849999999994
276	12699	NE-2011-1129702	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	14	Moderate Decomposition	Humpback Whale	-7654328.186945483	5064104.462906825	102100	2011-JAN-14	41.35000000000008	-68.75999999999993
277	19526	NE-2005-1046503	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	12	Moderate Decomposition	Humpback Whale	-7638372.430371613	5054223.470934187	102100	2005-JUL-12	41.28333300000002	-68.61666699999995
278	15002	NE-2008-1091469	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	8	Moderate Decomposition	Humpback Whale	-7608865.306905514	5050767.575739299	102100	2008-OCT-08	41.260000000000055	-68.35159999999996
279	17453	NE-2006-1061753	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	6	Moderate Decomposition	Humpback Whale	-7597740.704912577	5170721.107191434	102100	2006-SEP-06	42.065000000000055	-68.25166599999994
280	13447	NE-2010-1119791	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	14	Advanced Decomposition	Humpback Whale	-7570059.332414981	5175220.62301504	102100	2010-JAN-14	42.095000000000034	-68.00299999999999
281	12966	NE-2010-1129057	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	1	Condition Unknown	Humpback Whale	-7535394.442981951	5174710.570984211	102100	2010-JUL-01	42.09160000000003	-67.69159999999994
282	16468	NE-2007-1068693	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	2	Condition Unknown	Humpback Whale	-7543751.197155806	5188481.071515981	102100	2007-JUL-02	42.183330000000076	-67.76666999999999
283	3032	NE-2018-1211627	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Floater	MA				1	Moderate Decomposition	Humpback Whale	-7506674.014357287	5178341.536828044	102100	2018-MAR-01	42.115800000000036	-67.43359999999996
284	21978	NE-2003-1049843	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	28	Advanced Decomposition	Humpback Whale	-7530021.421855266	5079687.489004208	102100	2003-JUL-28	41.45500000000004	-67.64333332999995
285	24381	NE-2000-1036870	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	estimate	estimate	18	Advanced Decomposition	Humpback Whale	-7525197.57762529	5101248.438166115	102100	2000-AUG-18	41.60000000000008	-67.59999999999997
286	17926	NE-2006-1059095	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	10	Moderate Decomposition	Humpback Whale	-7490873.993751035	5154241.043931321	102100	2006-JUL-10	41.955000000000034	-67.29166599999995
287	6511	NE-2015-1202022	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	20	Moderate Decomposition	Humpback Whale	-7488832.839567853	5158482.685882548	102100	2015-MAR-20	41.98333000000007	-67.27332999999999
288	16100	NE-2007-1073365	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	9	Advanced Decomposition	Humpback Whale	-7472691.513402824	5112915.9654236	102100	2007-OCT-09	41.678330000000074	-67.12832999999995
289	17925	NE-2006-1059097	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	10	Advanced Decomposition	Humpback Whale	-7469537.720909162	5118631.422093118	102100	2006-JUL-10	41.71666600000003	-67.09999899999997
290	16123	NE-2007-1073271	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	24	Advanced Decomposition	Humpback Whale	-7480669.781307983	5121116.895796126	102100	2007-JUL-24	41.733330000000066	-67.19999999999999
291	21980	NE-2003-1049837	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	23	Moderate Decomposition	Humpback Whale	-7472135.286642767	5134054.336379721	102100	2003-JUL-23	41.82000000000006	-67.12333332999998
292	17672	NE-2006-1060493	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	22	Moderate Decomposition	Humpback Whale	-7460632.161645702	5148753.962778642	102100	2006-SEP-22	41.91833300000007	-67.01999899999997
293	17511	NE-2006-1061431	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	21	Moderate Decomposition	Humpback Whale	-7455103.367815964	5105764.962255809	102100	2006-AUG-21	41.630333000000064	-66.97033299999998
294	18982	NE-2005-1050141	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	1	Advanced Decomposition	Humpback Whale	-7447273.934069999	5111177.821823167	102100	2005-OCT-01	41.666667000000075	-66.89999999999996
295	21967	NE-2003-1052529	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			17	Fresh Dead	Humpback Whale	-7442264.556984301	5112916.412555844	102100	2003-JUN-17	41.67833300000007	-66.85499999999996
296	15380	NE-2008-1080591	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Floater	MA	Atlantic Ocean	actual	actual	30	Moderate Decomposition	Humpback Whale	-7434905.225447959	5120247.264649966	102100	2008-JUN-30	41.72750000000007	-66.78888999999998
297	17510	NE-2006-1061433	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	22	Moderate Decomposition	Humpback Whale	-7437997.235624229	5123603.90966162	102100	2006-AUG-22	41.75000000000006	-66.81666599999994
298	15613	NE-2008-1078631	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	9	Moderate Decomposition	Humpback Whale	-7436512.6788950125	5124100.793054089	102100	2008-JUN-09	41.753330000000055	-66.80332999999996
299	17269	NE-2006-1062773	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	21	Moderate Decomposition	Humpback Whale	-7450984.546656608	5022179.862115617	102100	2006-NOV-21	41.06666600000006	-66.93333299999995
300	20756	NE-2004-1041771	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	10	Moderate Decomposition	Humpback Whale	-7449871.388484106	5052495.394119166	102100	2004-AUG-10	41.27166667000005	-66.92333332999993
301	21983	NE-2003-1049831	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	3	Moderate Decomposition	Humpback Whale	-7454324.168115839	5067070.718183053	102100	2003-JUL-03	41.37000000000004	-66.96333332999995
302	21981	NE-2003-1049835	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	3	Moderate Decomposition	Humpback Whale	-7456179.49333346	5081172.901300235	102100	2003-JUL-03	41.465000000000025	-66.97999999999996
303	22405	NE-2003-1034528	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			28	Advanced Decomposition	Humpback Whale	-7443006.687293989	5097031.578225433	102100	2003-JUL-28	41.57166667000007	-66.86166666999998
304	15379	NE-2008-1080593	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	11	Moderate Decomposition	Humpback Whale	-7436141.984990669	5098767.211848268	102100	2008-JUL-11	41.583330000000046	-66.79999999999995
305	15378	NE-2008-1080595	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	11	Advanced Decomposition	Humpback Whale	-7426865.731822868	5113661.214764915	102100	2008-JUL-11	41.683330000000076	-66.71666999999998
306	21982	NE-2003-1049833	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	3	Moderate Decomposition	Humpback Whale	-7421855.984043268	5079935.042310283	102100	2003-JUL-03	41.45666667000007	-66.67166666999998
307	22403	NE-2003-1034530	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			28	Advanced Decomposition	Humpback Whale	-7383636.291462111	5110184.376415234	102100	2003-JUL-28	41.660000000000025	-66.32833332999996
308	24469	NE-2003-1034531	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			28	Moderate Decomposition	Humpback Whale	-7394749.688035101	5130121.646931979	102100	2003-JUL-28	41.79366667000004	-66.42816666999994
309	21976	NE-2003-1049849	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	30	Fresh Dead	Humpback Whale	-7407013.384528697	5149252.703844568	102100	2003-JUL-30	41.92166667000003	-66.53833332999993
310	21977	NE-2003-1049847	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	29	Moderate Decomposition	Humpback Whale	-7432060.269957186	5155738.0547818	102100	2003-JUL-29	41.96500000000003	-66.76333332999995
